qua mai  1 16:21:22 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;3;0;0;0;0
CoarseList;3;32563;26194;25307;5511
CoarseList;3;23369;17514;18359;5740
CoarseList;3;23698;15403;17883;5806
CoarseList;3;23279;17155;13901;4919
CoarseList;3;24216;18104;21643;5770
CoarseList;3;24535;22667;18633;5687
CoarseList;3;26701;23604;17327;5789
CoarseList;3;25695;24348;21557;5601
CoarseList;3;25291;20720;20357;6458
CoarseList;3;21769;15488;19060;5630
CoarseList;3;21879;17216;20020;5603
CoarseList;3;25304;22415;18169;5554
CoarseList;3;24109;24382;24547;5513
CoarseList;3;25394;21908;21246;5724
CoarseList;3;23471;17321;18790;5637
CoarseList;3;23808;15930;19788;6260
CoarseList;3;21710;17919;18428;5356
CoarseList;3;29581;17649;23510;7086
CoarseList;3;33296;8917;9908;8350
CoarseList;3;27261;5147;7192;8665
CoarseList;3;28293;3080;3342;9094
CoarseList;3;25974;4633;3850;8277
CoarseList;3;22045;3341;6340;8385
CoarseList;3;11123;6929;22655;6378
CoarseList;3;21424;18581;20571;4476
CoarseList;3;29606;28669;18126;4491
CoarseList;3;32031;38700;22930;4757
CoarseList;3;29263;32515;23115;4332
CoarseList;3;30196;25808;25491;4720
CoarseList;3;28410;12369;14529;6284
CoarseList;3;15238;5282;27984;7807
CoarseList;3;24195;29471;25365;5190
CoarseList;3;31368;33421;25823;6404
CoarseList;3;22170;21233;28817;5514
CoarseList;3;26769;31613;26637;5348
CoarseList;3;23623;15760;23215;5968
CoarseList;3;19711;23510;23410;3584
CoarseList;3;20972;16100;29266;4316
CoarseList;3;27032;19284;20847;6345
CoarseList;3;24492;15830;15603;5845
CoarseList;3;22528;15979;20919;5205
CoarseList;3;25362;28418;24356;4840
CoarseList;3;23028;15470;21378;5927
CoarseList;3;25474;17734;20543;6665
CoarseList;3;24128;18081;17782;6416
CoarseList;3;24825;11685;12634;6442
CoarseList;3;20389;14335;18255;6196
CoarseList;3;20853;18805;22359;5691
CoarseList;3;27151;24536;20681;5926
CoarseList;3;26328;20492;17526;6018
CoarseList;3;25607;22715;17220;4561
CoarseList;3;23243;24345;28242;4821
CoarseList;3;25957;23235;20154;5474
CoarseList;3;21995;16974;18847;4533
CoarseList;3;27808;21203;20014;6235
CoarseList;3;27711;23674;17721;6554
CoarseList;3;23732;21201;22723;5951
CoarseList;3;26747;28340;22285;5263
CoarseList (Mean);3;24470;19039;19443;5777
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;6;0;0;0;0
CoarseList;6;31974;25972;29903;6097
CoarseList;6;22068;18973;19530;5158
CoarseList;6;26362;15480;18894;7042
CoarseList;6;25645;11043;11098;7176
CoarseList;6;22942;18770;17142;5719
CoarseList;6;26034;13415;17640;7236
CoarseList;6;20398;13432;18272;6228
CoarseList;6;22258;15493;20686;6828
CoarseList;6;20673;14981;17212;5661
