qua mai  1 22:05:09 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
HoHContainsLockFreeList;3;0;0;0;1
HoHContainsLockFreeList;3;32981;32739;95227;5145
HoHContainsLockFreeList;3;28361;28226;37785;5014
HoHContainsLockFreeList;3;28442;28161;38098;5051
HoHContainsLockFreeList;3;28125;28197;37412;5023
HoHContainsLockFreeList;3;28445;28389;37597;5029
HoHContainsLockFreeList;3;28246;28574;38441;4906
HoHContainsLockFreeList;3;26176;26759;37218;4925
HoHContainsLockFreeList;3;26645;26670;46188;5002
HoHContainsLockFreeList;3;21967;22409;39034;4950
HoHContainsLockFreeList;3;25342;24547;37982;5062
HoHContainsLockFreeList;3;26974;26862;38041;5022
HoHContainsLockFreeList;3;27301;27717;38330;4997
HoHContainsLockFreeList;3;25583;26015;36836;4998
HoHContainsLockFreeList;3;26354;26222;38314;4963
HoHContainsLockFreeList;3;25409;25439;38355;5047
HoHContainsLockFreeList;3;26694;27371;38200;4951
HoHContainsLockFreeList;3;27836;29249;38508;4845
HoHContainsLockFreeList;3;27909;29042;38252;4935
HoHContainsLockFreeList;3;27321;27648;37659;4985
HoHContainsLockFreeList;3;26592;26628;38097;4990
HoHContainsLockFreeList;3;25216;25859;38602;4901
HoHContainsLockFreeList;3;24135;25332;39217;4995
HoHContainsLockFreeList;3;26777;26672;38756;4962
HoHContainsLockFreeList;3;28065;28865;39353;4937
HoHContainsLockFreeList;3;27984;28315;38712;4928
HoHContainsLockFreeList;3;28023;27914;39073;5033
HoHContainsLockFreeList;3;28438;28847;38988;4956
HoHContainsLockFreeList;3;27840;28614;38807;4905
HoHContainsLockFreeList;3;26282;26868;39342;4851
HoHContainsLockFreeList;3;26194;26590;38846;4945
HoHContainsLockFreeList;3;26835;27583;38889;4874
HoHContainsLockFreeList;3;26797;27301;38966;4873
HoHContainsLockFreeList;3;26226;26630;38046;4960
HoHContainsLockFreeList;3;25611;25514;38115;4929
HoHContainsLockFreeList;3;28255;28288;39155;5107
HoHContainsLockFreeList;3;24701;24579;38005;4924
HoHContainsLockFreeList;3;24152;24356;39087;4992
HoHContainsLockFreeList;3;27901;28286;38888;4977
HoHContainsLockFreeList;3;27548;28775;39381;4992
HoHContainsLockFreeList;3;27876;28676;39084;4816
HoHContainsLockFreeList;3;27819;28375;39206;5014
HoHContainsLockFreeList;3;26336;26568;38592;4885
HoHContainsLockFreeList;3;28179;28657;39185;5032
HoHContainsLockFreeList;3;26373;26982;37907;4962
HoHContainsLockFreeList;3;25729;26170;37764;4948
HoHContainsLockFreeList;3;27232;27981;39035;4946
HoHContainsLockFreeList;3;27496;27797;38170;4927
HoHContainsLockFreeList;3;27280;28095;38662;4881
HoHContainsLockFreeList;3;28057;29004;39590;4889
HoHContainsLockFreeList;3;26715;26682;38366;4937
HoHContainsLockFreeList;3;27323;27654;38227;4991
HoHContainsLockFreeList;3;27620;27791;38547;4988
HoHContainsLockFreeList;3;28699;29518;39140;4949
HoHContainsLockFreeList;3;28609;29253;42638;5008
HoHContainsLockFreeList;3;28822;29162;42837;5011
HoHContainsLockFreeList;3;26616;27653;37934;4898
HoHContainsLockFreeList;3;26376;27365;38537;4920
HoHContainsLockFreeList;3;26737;27349;38773;5027
HoHContainsLockFreeList;3;26334;26910;37932;5002
HoHContainsLockFreeList (Mean);3;26598;26994;39065;4881
Experiment;Threads;Add;Remove;Contains;Population
HoHContainsLockFreeList;6;0;0;0;1
HoHContainsLockFreeList;6;31446;32457;199420;4933
HoHContainsLockFreeList;6;32086;30178;81247;4954
HoHContainsLockFreeList;6;26151;25256;69446;5117
HoHContainsLockFreeList;6;22088;21870;79477;5021
HoHContainsLockFreeList;6;24658;24504;78229;4970
HoHContainsLockFreeList;6;27216;27676;77790;4761
HoHContainsLockFreeList;6;30987;30309;76101;5047
HoHContainsLockFreeList;6;31042;31572;74901;5170
HoHContainsLockFreeList;6;32577;30610;90790;5139
HoHContainsLockFreeList;6;31555;31975;74035;5145
HoHContainsLockFreeList;6;27803;28781;76382;5010
HoHContainsLockFreeList;6;31098;31418;72140;4979
HoHContainsLockFreeList;6;32299;30503;69171;5128
HoHContainsLockFreeList;6;31435;31275;69974;4837
HoHContainsLockFreeList;6;32601;28323;65268;5238
HoHContainsLockFreeList;6;37509;37679;85077;4985
HoHContainsLockFreeList;6;30119;30137;75186;5139
HoHContainsLockFreeList;6;30449;29287;69706;5029
HoHContainsLockFreeList;6;30951;30916;74301;4913
HoHContainsLockFreeList;6;32394;34187;76055;4980
HoHContainsLockFreeList;6;33082;32376;72210;5096
HoHContainsLockFreeList;6;29664;28057;73064;5160
HoHContainsLockFreeList;6;31473;31776;93216;5031
HoHContainsLockFreeList;6;30580;29961;73443;5140
HoHContainsLockFreeList;6;31638;28635;66951;5126
HoHContainsLockFreeList;6;33360;32750;68135;4968
HoHContainsLockFreeList;6;34672;35007;72534;4938
HoHContainsLockFreeList;6;31331;32690;75095;4886
HoHContainsLockFreeList;6;30758;30745;84644;4893
HoHContainsLockFreeList;6;34548;38000;88143;4841
HoHContainsLockFreeList;6;31623;31473;75669;4966
HoHContainsLockFreeList;6;30505;30735;75476;5039
