qua mai  1 16:41:35 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
HoHList;3;0;0;0;0
HoHList;3;28304;28639;29145;4898
HoHList;3;26266;26011;26869;5018
HoHList;3;24708;25452;25982;4891
HoHList;3;27016;27402;27241;4987
HoHList;3;27619;27847;27696;4969
HoHList;3;27294;28095;28071;4840
HoHList;3;28431;28926;28819;4981
HoHList;3;26440;26210;27245;5013
HoHList;3;27088;27322;28163;4912
HoHList;3;26990;26845;27529;4982
HoHList;3;27169;27598;27479;4962
HoHList;3;28035;27576;28289;5023
HoHList;3;27374;27299;28082;4921
HoHList;3;27845;28149;28425;4921
HoHList;3;27274;27461;27821;4953
HoHList;3;27597;27603;28035;5029
HoHList;3;27734;27593;28334;4989
HoHList;3;26706;26545;27946;5158
HoHList;3;26861;26784;27587;5002
HoHList;3;27660;27644;28146;5056
HoHList;3;27099;27051;26983;5025
HoHList;3;26932;27025;27147;4992
HoHList;3;26365;27493;27466;4927
HoHList;3;26973;27430;27753;4992
HoHList;3;25617;25872;26154;4977
HoHList;3;26854;25900;26583;5116
HoHList;3;25939;25929;26509;5094
HoHList;3;26409;26399;27665;4967
HoHList;3;25722;26114;27904;4929
HoHList;3;26869;26244;27128;4971
HoHList;3;27917;27532;28566;5090
HoHList;3;27583;27268;28225;4997
HoHList;3;25958;25626;26734;5068
HoHList;3;27000;27113;27449;4996
HoHList;3;26415;25712;26184;5076
HoHList;3;25701;26148;27678;5036
HoHList;3;27376;27218;28074;5079
HoHList;3;27045;27190;27375;5053
HoHList;3;27108;27041;27177;5018
HoHList;3;27162;27016;27357;4998
HoHList;3;26637;26109;26716;5015
HoHList;3;25876;26009;26647;5024
HoHList;3;25031;24368;24939;4976
HoHList;3;27140;26701;27135;5010
HoHList;3;25427;25590;25900;5180
HoHList;3;25221;25703;26420;4797
HoHList;3;23427;24314;24188;5008
HoHList;3;25385;26492;26797;4960
HoHList;3;26374;26520;26990;4813
HoHList;3;26266;26141;26928;4960
HoHList;3;27317;27424;28101;5040
HoHList;3;26200;26313;27002;4979
HoHList;3;26627;26728;27217;4934
HoHList;3;27684;27540;28363;5006
HoHList;3;27104;26534;27292;5050
HoHList;3;27039;27411;27238;4920
HoHList;3;27625;28057;28697;4980
HoHList;3;28140;27972;28068;4939
HoHList;3;26693;26464;27140;4940
HoHList (Mean);3;26327;26378;26913;4907
Experiment;Threads;Add;Remove;Contains;Population
HoHList;6;0;0;0;0
HoHList;6;37207;37684;38941;5082
HoHList;6;34991;34330;35204;5017
HoHList;6;31923;32640;33489;4775
HoHList;6;33646;34302;34403;4975
HoHList;6;32765;33088;34067;4957
HoHList;6;33110;33534;34612;4955
HoHList;6;31219;30379;31979;5035
HoHList;6;34139;36632;34679;5210
HoHList;6;35418;34218;36596;5095
HoHList;6;34921;34420;36811;5002
HoHList;6;35467;35955;35095;4959
HoHList;6;34775;41655;37189;4496
HoHList;6;36656;37168;37698;4582
HoHList;6;35877;37644;36421;4715
HoHList;6;34327;33300;35717;4995
HoHList;6;34395;34011;35494;5029
HoHList;6;35126;34383;37846;4952
HoHList;6;32792;33878;35223;5059
HoHList;6;33463;33134;34634;4998
HoHList;6;34286;32799;35702;5004
HoHList;6;36994;35377;36003;4923
HoHList;6;32358;33019;32941;4862
HoHList;6;33801;34702;34204;4968
HoHList;6;31795;31864;33775;5027
HoHList;6;35672;34857;37324;5174
HoHList;6;35198;35410;35669;5143
HoHList;6;34142;34908;33575;4894
HoHList;6;33154;30059;31530;5060
HoHList;6;37110;39485;37936;4936
HoHList;6;33458;33975;34238;4978
HoHList;6;32027;31298;32915;5244
HoHList;6;30262;31511;32602;4998
HoHList;6;37442;34130;36239;5168
HoHList;6;36874;34987;35669;5222
HoHList;6;33881;34239;36083;5146
HoHList;6;34812;36762;36418;4932
HoHList;6;38504;39259;36987;4898
HoHList;6;35152;35211;36116;5015
HoHList;6;36021;34970;35243;5081
HoHList;6;35562;35939;35424;4810
HoHList;6;36826;36820;38256;5170
HoHList;6;35299;33808;36525;5426
HoHList;6;36373;36203;35961;4997
HoHList;6;34532;35715;36448;4772
HoHList;6;36512;37922;39002;4875
HoHList;6;34864;35902;37032;4825
HoHList;6;35173;33109;37251;5342
HoHList;6;36703;36791;36357;5157
HoHList;6;37449;36813;35914;4842
HoHList;6;35964;33013;36897;5224
HoHList;6;32288;32869;39822;4985
HoHList;6;36772;35808;37527;5067
HoHList;6;35582;34100;35274;5055
HoHList;6;33790;33589;36666;4947
HoHList;6;34699;34059;34934;4949
HoHList;6;37304;36339;37583;5129
HoHList;6;32681;33748;34492;4715
HoHList;6;34699;35887;37068;4887
HoHList;6;34536;33618;35253;5106
HoHList (Mean);6;34212;34220;35182;4914
Experiment;Threads;Add;Remove;Contains;Population
HoHList;9;0;0;0;0
HoHList;9;32293;33580;33565;4883
HoHList;9;28059;28688;28768;4913
HoHList;9;28030;28369;28497;4983
HoHList;9;28119;28697;28700;5002
HoHList;9;29862;30474;30532;4930
HoHList;9;28336;28790;28758;5046
HoHList;9;26772;27442;27193;4901
HoHList;9;27346;27933;27785;4921
HoHList;9;29787;30402;30132;4958
HoHList;9;28669;29395;29005;4979
HoHList;9;27502;28238;28229;4967
HoHList;9;27288;28037;28001;4903
HoHList;9;31098;31804;31485;4930
HoHList;9;28932;29380;29368;4898
HoHList;9;25965;26732;26308;4890
HoHList;9;26857;27523;27399;4909
HoHList;9;30473;31064;30862;4893
HoHList;9;28340;29043;28876;4917
HoHList;9;26761;27417;27367;4972
HoHList;9;27116;27434;27455;4949
HoHList;9;29875;30452;30314;4928
HoHList;9;26589;27100;26872;4936
HoHList;9;26710;27181;27185;4901
HoHList;9;27449;27883;27675;4952
HoHList;9;29396;30246;29918;4946
HoHList;9;27304;27912;27971;4951
HoHList;9;26097;26479;26520;4950
HoHList;9;26602;27329;27419;4898
HoHList;9;29717;30451;30279;4848
HoHList;9;29145;29826;29536;4903
HoHList;9;27887;28597;28312;5017
HoHList;9;24541;24899;24826;4931
HoHList;9;27906;28876;28408;4939
HoHList;9;27331;27982;27545;4910
HoHList;9;25659;26115;25943;4951
HoHList;9;21668;21968;21775;5008
HoHList;9;25778;26314;26281;4929
HoHList;9;31118;31904;31755;4952
HoHList;9;28130;28455;28414;4945
HoHList;9;27715;28224;27887;4972
HoHList;9;29538;30401;30302;4875
HoHList;9;28918;29608;29555;4894
HoHList;9;27386;27819;27573;4942
HoHList;9;26794;27006;27007;4960
HoHList;9;28983;29832;29594;4921
HoHList;9;29624;30213;30184;4962
HoHList;9;26494;26945;26818;5057
HoHList;9;27483;27818;27766;5004
HoHList;9;30713;31473;31021;4915
HoHList;9;28289;28754;28605;5039
HoHList;9;26640;27022;26801;4971
HoHList;9;25086;25363;25576;4945
HoHList;9;30217;31007;30796;4968
HoHList;9;28898;29688;29337;4985
HoHList;9;27485;28151;27969;4937
HoHList;9;27964;28495;28146;4962
HoHList;9;28492;29352;28966;4908
HoHList;9;27684;28328;28161;4970
HoHList;9;25057;25560;25407;4973
HoHList (Mean);9;27432;28024;27878;4861
Experiment;Threads;Add;Remove;Contains;Population
HoHList;12;0;0;0;0
HoHList;12;30322;31551;30871;4901
HoHList;12;25175;25419;25328;4965
HoHList;12;24047;23930;24180;4951
HoHList;12;27625;27743;27757;5071
HoHList;12;25381;25639;25588;5014
HoHList;12;26360;26627;26829;4927
HoHList;12;30090;30414;30201;4928
HoHList;12;26541;26762;27037;4894
HoHList;12;27167;27298;27396;4937
HoHList;12;25484;25441;25456;4980
HoHList;12;27906;28162;28280;4947
HoHList;12;28704;29117;28984;4942
HoHList;12;27345;27605;27482;5027
HoHList;12;26830;27145;27095;5011
HoHList;12;25093;25091;25368;4945
HoHList;12;27183;27410;27510;5027
HoHList;12;31440;31872;31776;4996
HoHList;12;27820;28029;28172;4986
HoHList;12;26354;26572;26495;4976
HoHList;12;27672;27659;27635;5059
HoHList;12;25885;26260;26207;5002
HoHList;12;31963;32113;32111;5002
HoHList;12;28709;29018;28744;5022
HoHList;12;27795;27983;28005;4968
HoHList;12;27551;27882;27870;5019
HoHList;12;28159;28381;28276;4942
HoHList;12;31246;31299;31434;4959
HoHList;12;26081;26304;26310;5060
HoHList;12;26289;26428;26544;5034
HoHList;12;25786;26142;26154;4967
HoHList;12;28161;28354;28571;4982
HoHList;12;31072;31695;31179;4922
HoHList;12;27402;27554;27389;4986
HoHList;12;27621;27717;27819;5006
HoHList;12;26086;26106;26012;5017
HoHList;12;26966;27373;27087;4912
HoHList;12;29703;30329;29885;4886
HoHList;12;28176;28261;28407;5109
HoHList;12;26833;26721;27082;4967
HoHList;12;27219;27527;27567;5017
HoHList;12;28883;28987;28917;5070
HoHList;12;31124;31320;31107;4950
HoHList;12;29201;29345;29302;4944
HoHList;12;28186;28376;28350;4956
HoHList;12;27804;28325;28132;4921
HoHList;12;31550;32011;32025;4907
HoHList;12;30397;30878;30780;4978
HoHList;12;27765;28010;28073;4933
HoHList;12;26233;26557;26594;5014
HoHList;12;27091;27443;27366;4888
HoHList;12;30446;30686;31044;4962
HoHList;12;30319;30494;30462;4973
HoHList;12;26861;26892;27160;4982
HoHList;12;27680;27829;27988;4954
HoHList;12;27390;27543;27706;4974
HoHList;12;32523;32909;32772;4939
HoHList;12;28058;28258;28344;5041
HoHList;12;28156;28221;28522;5010
HoHList;12;26659;26695;26928;4977
HoHList (Mean);12;27492;27728;27727;4893
Experiment;Threads;Add;Remove;Contains;Population
HoHList;15;0;0;0;0
HoHList;15;31401;31502;31269;4932
HoHList;15;27011;27237;27094;4998
HoHList;15;26297;26304;26255;5044
HoHList;15;27519;27603;27593;4963
HoHList;15;24870;25012;25137;4982
HoHList;15;26129;26159;26362;4971
HoHList;15;24530;24444;24314;4956
HoHList;15;27622;27486;27728;4969
HoHList;15;25850;26058;25891;5004
HoHList;15;25380;25436;25524;5027
HoHList;15;24778;25082;25094;4916
HoHList;15;29375;29487;29805;4978
HoHList;15;25477;25700;25464;4985
HoHList;15;23961;24065;24159;4962
HoHList;15;27401;27680;27305;4914
HoHList;15;25003;24869;25067;5010
HoHList;15;24804;24559;24693;5063
HoHList;15;24722;24840;24700;5040
HoHList;15;29475;29948;30052;4957
HoHList;15;26433;26845;26696;4948
HoHList;15;25510;25469;25478;4980
HoHList;15;29029;29278;29107;5006
HoHList;15;25008;25041;24994;5010
HoHList;15;24653;24643;24610;5006
HoHList;15;23998;24222;24283;4966
HoHList;15;28270;28377;28077;4983
HoHList;15;26903;27127;27242;4964
HoHList;15;25665;25715;25831;4987
HoHList;15;27232;27467;27212;4991
HoHList;15;24146;24274;24181;5009
HoHList;15;23506;23563;23503;5021
HoHList;15;25541;25632;25527;4989
HoHList;15;27712;27928;27840;5011
HoHList;15;25129;25008;25234;4935
HoHList;15;23768;24028;23919;4981
HoHList;15;26173;26064;26320;5072
HoHList;15;25404;25405;25377;4972
HoHList;15;26100;26237;26211;4985
HoHList;15;25783;25908;25901;5022
HoHList;15;26546;26553;26492;5068
HoHList;15;24412;24393;24599;5077
HoHList;15;23601;23617;23597;5058
HoHList;15;23732;23855;23740;4989
HoHList;15;29393;29420;29400;5047
HoHList;15;25078;24991;25127;4918
HoHList;15;25759;25904;25925;4979
HoHList;15;28677;28834;28757;4980
HoHList;15;24991;24922;24979;5012
HoHList;15;23487;23489;23448;5040
HoHList;15;24686;24950;24808;4966
HoHList;15;27172;27464;27266;4927
HoHList;15;24737;24609;24795;4985
HoHList;15;26597;26685;26712;5053
HoHList;15;26837;27050;26931;5023
HoHList;15;27859;27924;27772;5087
HoHList;15;26590;26561;26511;4976
HoHList;15;23768;23821;23694;5000
HoHList;15;29183;28954;28871;5089
HoHList;15;24025;24053;24181;4987
HoHList (Mean);15;25578;25662;25644;4912
Experiment;Threads;Add;Remove;Contains;Population
HoHList;18;0;0;0;0
HoHList;18;29202;28984;28540;5058
HoHList;18;25043;24985;25029;5044
HoHList;18;24891;24623;24770;5081
HoHList;18;24513;24587;24503;5010
HoHList;18;26520;26665;26458;5034
HoHList;18;26218;26152;26248;4995
HoHList;18;24785;24628;24968;5046
HoHList;18;23014;22853;22882;5032
HoHList;18;26972;26993;27098;4979
HoHList;18;25987;25817;25999;4983
HoHList;18;22996;22974;23152;4941
HoHList;18;23954;23829;23855;5071
HoHList;18;27564;27265;27545;4993
HoHList;18;25082;25020;24843;4970
HoHList;18;24407;24581;24484;4968
HoHList;18;25012;24742;24944;5039
HoHList;18;26476;26375;26568;5010
HoHList;18;24474;24531;24335;4936
HoHList;18;22976;23274;23081;5066
HoHList;18;25136;25155;25225;5045
HoHList;18;26993;27029;27073;4989
HoHList;18;26494;26300;26257;5096
HoHList;18;25371;25347;25359;5002
HoHList;18;27230;27023;26724;5051
HoHList;18;26321;26263;26267;5065
HoHList;18;25238;25209;25446;5014
HoHList;18;24472;24443;24347;4979
HoHList;18;25794;25822;25845;5066
HoHList;18;26763;26722;26716;5006
HoHList;18;23824;23976;23998;4945
HoHList;18;25844;25969;25956;5011
HoHList;18;26743;26794;26775;4943
HoHList;18;25589;25831;25857;5037
HoHList;18;24566;24883;24485;4964
HoHList;18;25684;25647;25724;4922
HoHList;18;28210;28366;28483;4992
HoHList;18;25907;26206;26008;4976
HoHList;18;23622;23741;23748;4940
HoHList;18;23863;23738;23760;5101
HoHList;18;28434;28501;28442;5004
HoHList;18;26443;26458;26570;4971
HoHList;18;24906;25163;25183;4997
HoHList;18;25517;25425;25507;5029
HoHList;18;26729;26957;27114;5040
HoHList;18;25868;25786;25841;4949
HoHList;18;25062;24889;24822;5088
HoHList;18;26088;26212;26141;4951
HoHList;18;24741;24737;24905;4932
HoHList;18;25125;25033;25051;5008
HoHList;18;23617;23720;23661;4945
HoHList;18;26685;26683;26844;5015
HoHList;18;25086;24908;24967;5010
HoHList;18;23390;23450;23436;5030
HoHList;18;24914;25002;24663;5045
HoHList;18;28444;28401;28142;4995
HoHList;18;26323;26347;26510;4979
HoHList;18;25268;25133;24941;5003
HoHList;18;24440;24374;24241;5097
HoHList;18;26084;26353;26286;4967
HoHList (Mean);18;25115;25114;25110;4924
Experiment;Threads;Add;Remove;Contains;Population
HoHList;21;0;0;0;0
HoHList;21;29757;29091;29224;4998
HoHList;21;24596;24585;24549;5017
HoHList;21;23823;23916;23951;4917
HoHList;21;24751;24691;24753;4973
HoHList;21;23827;23998;24049;4977
HoHList;21;29200;29348;29057;5012
HoHList;21;25602;25266;25459;5033
HoHList;21;25928;25948;26137;4934
HoHList;21;24546;24385;24741;4930
HoHList;21;28718;28965;29175;4950
HoHList;21;27044;27236;27069;4928
HoHList;21;27619;27862;27843;4978
HoHList;21;26799;26900;27077;4950
HoHList;21;29490;29521;29715;4997
HoHList;21;26240;26173;26299;5025
HoHList;21;23713;23857;23958;4995
HoHList;21;25311;25238;25289;5005
HoHList;21;28942;29012;29385;5028
HoHList;21;25889;26214;26289;4977
HoHList;21;26360;26233;26387;5049
HoHList;21;24665;24423;24723;5060
HoHList;21;28229;28370;28387;5017
HoHList;21;24793;24878;24985;4997
HoHList;21;22402;22533;22379;4994
HoHList;21;26175;26225;26374;5010
HoHList;21;28817;28402;28649;5071
HoHList;21;25700;25877;26038;4981
HoHList;21;27535;27733;27596;4958
HoHList;21;25097;25019;25233;5020
HoHList;21;29135;28907;29452;5024
HoHList;21;27281;27587;27703;5037
HoHList;21;24936;24905;24819;5023
HoHList;21;25252;25073;25358;5052
HoHList;21;28770;28783;28946;5005
HoHList;21;25861;26068;25923;4973
HoHList;21;26640;26851;26817;4946
HoHList;21;27565;27713;27899;4985
HoHList;21;31065;30979;31084;5019
HoHList;21;26851;26753;27010;5006
HoHList;21;24980;24986;24858;5004
HoHList;21;25163;25276;25403;4982
HoHList;21;29442;29406;29606;5077
HoHList;21;26956;27209;27437;4920
HoHList;21;25886;25981;25961;4970
HoHList;21;27185;27267;27247;4954
HoHList;21;29112;29254;29252;5004
HoHList;21;25030;25184;25171;4999
HoHList;21;22945;22873;23104;5011
HoHList;21;25585;25656;25684;4987
HoHList;21;28023;28170;28334;5086
HoHList;21;25199;25525;25435;4910
HoHList;21;24165;24367;24410;5017
HoHList;21;22981;22735;23013;5044
HoHList;21;26659;26559;26773;5043
HoHList;21;23932;23797;23856;5007
HoHList;21;24147;24096;24337;5103
HoHList;21;25378;25137;25474;5167
HoHList;21;29038;29126;29042;4965
HoHList;21;26745;26693;26803;4966
HoHList (Mean);21;25891;25913;26016;4917
Experiment;Threads;Add;Remove;Contains;Population
HoHList;24;0;0;0;0
HoHList;24;29623;29578;29458;5018
HoHList;24;25816;26047;26323;5068
HoHList;24;23447;23235;23330;4994
HoHList;24;24788;24988;25031;5010
HoHList;24;27556;27764;27729;4949
HoHList;24;26020;26038;26061;5026
HoHList;24;22854;22593;22868;5018
HoHList;24;25532;25588;25533;4961
HoHList;24;24884;24857;25105;4945
HoHList;24;29241;29231;29487;4991
HoHList;24;26799;27218;27139;4937
HoHList;24;26755;26927;27007;4894
HoHList;24;28203;28466;28416;5048
HoHList;24;27122;27273;27348;4915
HoHList;24;24166;24306;24362;4998
HoHList;24;24487;24447;24698;5041
HoHList;24;27081;27577;27509;4956
HoHList;24;26467;26572;27055;4897
HoHList;24;25098;25248;25172;4924
HoHList;24;25735;25762;25953;4938
HoHList;24;28111;28369;28310;4985
HoHList;24;26027;25815;25849;4987
HoHList;24;23639;23704;23782;4976
HoHList;24;24474;24609;24761;5046
HoHList;24;28310;28247;28291;4946
HoHList;24;26699;26860;26873;4927
HoHList;24;24745;24950;24831;4969
HoHList;24;24973;24942;24791;5029
HoHList;24;26802;26974;27037;5011
HoHList;24;24155;24516;24465;4970
HoHList;24;23974;23964;24112;5000
HoHList;24;22944;23097;23217;5000
HoHList;24;24443;24509;24634;5018
HoHList;24;30726;30836;30816;4960
HoHList;24;26218;26187;26278;5047
HoHList;24;23968;23901;24142;5094
HoHList;24;24552;24435;24504;5014
HoHList;24;27874;28307;27994;4972
HoHList;24;25272;24992;25114;5060
HoHList;24;26018;26197;26273;5009
HoHList;24;25578;25872;25894;4977
HoHList;24;29480;29935;29679;4975
HoHList;24;25601;25816;25917;5001
HoHList;24;25247;25210;25527;5022
HoHList;24;26880;27286;27169;4953
HoHList;24;28308;28414;28364;5008
HoHList;24;24719;24778;24663;4988
HoHList;24;25604;25735;25691;5022
HoHList;24;24842;24949;25412;5065
HoHList;24;28284;28032;28085;5031
HoHList;24;26299;26423;26569;4998
HoHList;24;26052;26155;26317;5046
HoHList;24;27833;27975;28101;4916
HoHList;24;26499;26671;26642;5006
HoHList;24;26467;26556;26658;4992
HoHList;24;25566;25852;25981;5024
HoHList;24;27345;27444;27607;5006
HoHList;24;26541;26734;26995;5011
HoHList;24;24455;24661;24657;4942
HoHList (Mean);24;25619;25727;25793;4908
Experiment;Threads;Add;Remove;Contains;Population
HoHList;27;0;0;0;0
HoHList;27;28950;28808;28862;5023
HoHList;27;22667;22565;22705;5014
HoHList;27;24662;24458;24529;5008
HoHList;27;24382;24500;24520;4987
HoHList;27;25586;25479;25489;5020
HoHList;27;24705;24540;24740;5040
HoHList;27;23137;23235;23051;5000
HoHList;27;22925;22805;22715;4963
