sáb mai 11 01:48:33 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;2;0;0;0;0
RandomCoarseList;2;23814;23653;23777;4930
RandomCoarseList;2;17670;17642;17700;5037
RandomCoarseList;2;18909;18955;19036;5026
RandomCoarseList;2;18604;18258;18517;5073
RandomCoarseList;2;19201;19007;19118;5008
RandomCoarseList;2;20612;20601;20137;4996
RandomCoarseList;2;26120;25953;25914;5050
RandomCoarseList;2;22787;22838;22887;5062
RandomCoarseList;2;21602;21872;21861;4974
RandomCoarseList;2;20796;20853;20702;4872
RandomCoarseList;2;21248;21029;20905;4980
RandomCoarseList;2;21118;21401;21170;4976
RandomCoarseList;2;21693;21803;21681;4935
RandomCoarseList;2;21153;21274;21392;4990
RandomCoarseList;2;20911;20790;20961;4999
RandomCoarseList;2;20385;20527;21001;4923
RandomCoarseList;2;21434;21287;21320;5036
RandomCoarseList;2;21128;21277;21146;4920
RandomCoarseList;2;21201;21496;21344;4986
RandomCoarseList;2;21250;21259;21448;4934
RandomCoarseList;2;20960;20814;20809;5072
RandomCoarseList;2;20440;20271;20285;4983
RandomCoarseList;2;20984;21065;21131;5019
RandomCoarseList;2;20333;20057;20001;5063
RandomCoarseList;2;21066;21482;21264;4894
RandomCoarseList;2;21318;21332;21304;4932
RandomCoarseList;2;21164;21210;21331;5098
RandomCoarseList;2;20985;21060;21117;4931
RandomCoarseList;2;21432;21578;21499;5014
RandomCoarseList;2;21011;21105;20930;5014
RandomCoarseList;2;21024;20962;21191;5037
RandomCoarseList;2;20638;20871;20848;4958
RandomCoarseList;2;20786;20853;20797;5038
RandomCoarseList;2;20934;20916;20753;4970
RandomCoarseList;2;20577;20710;20615;4916
RandomCoarseList;2;21820;21861;21992;4960
RandomCoarseList;2;21454;21602;21696;4969
RandomCoarseList;2;21028;20771;21128;4965
RandomCoarseList;2;21368;21451;21291;4983
RandomCoarseList;2;21270;21028;21057;4993
RandomCoarseList;2;21429;21393;21465;4995
RandomCoarseList;2;21119;21620;21317;4913
RandomCoarseList;2;21383;20956;21255;5065
RandomCoarseList;2;21022;20721;21034;5020
RandomCoarseList;2;21524;21803;21647;4905
RandomCoarseList;2;20983;21103;21142;5002
RandomCoarseList;2;21108;21118;20897;5046
RandomCoarseList;2;21428;21385;20988;5035
RandomCoarseList;2;21075;20784;21550;4997
RandomCoarseList;2;21256;21599;21507;4993
RandomCoarseList;2;21782;21603;21559;4982
RandomCoarseList;2;20891;20814;21059;4909
RandomCoarseList;2;20982;20850;20965;5001
RandomCoarseList;2;27502;27593;27539;5089
RandomCoarseList;2;21521;21865;21625;5042
RandomCoarseList;2;21112;21081;21037;4958
RandomCoarseList;2;21000;21235;21217;4896
RandomCoarseList;2;21745;21680;21647;5009
RandomCoarseList;2;21963;21845;21949;5060
RandomCoarseList (Mean);2;20884;20897;20907;4907
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;4;0;0;0;0
RandomCoarseList;4;25593;25463;25675;4985
RandomCoarseList;4;19033;19018;19045;4969
RandomCoarseList;4;20256;20465;20436;5010
RandomCoarseList;4;19917;19909;20073;4971
RandomCoarseList;4;19552;19563;19869;5004
RandomCoarseList;4;26954;27135;27033;4977
RandomCoarseList;4;22308;22481;22007;4989
RandomCoarseList;4;21141;21454;21456;5029
RandomCoarseList;4;21626;21434;21807;5062
RandomCoarseList;4;20943;20800;20876;5037
RandomCoarseList;4;20963;20720;20773;5049
RandomCoarseList;4;20717;20571;20678;4939
RandomCoarseList;4;20682;20730;20565;4971
RandomCoarseList;4;20835;21020;21152;4939
RandomCoarseList;4;20952;20782;20702;5011
RandomCoarseList;4;21062;21200;21009;4968
RandomCoarseList;4;21416;21446;21303;5013
RandomCoarseList;4;20688;20768;20613;4982
RandomCoarseList;4;20452;20437;20372;5025
RandomCoarseList;4;20762;20675;20759;5032
RandomCoarseList;4;20457;20558;20719;5023
RandomCoarseList;4;20391;20496;20645;4970
RandomCoarseList;4;20653;20893;20635;5076
RandomCoarseList;4;20626;20396;20367;5001
RandomCoarseList;4;20858;20742;20639;5017
RandomCoarseList;4;20138;20246;20294;5005
RandomCoarseList;4;20430;20866;20582;4938
RandomCoarseList;4;20855;21148;21300;4964
RandomCoarseList;4;20623;20572;20483;5088
RandomCoarseList;4;20019;20126;19961;4944
RandomCoarseList;4;20067;20115;20074;4946
RandomCoarseList;4;20428;20500;20600;4962
RandomCoarseList;4;21547;21570;21685;4955
RandomCoarseList;4;20638;20614;20444;4999
RandomCoarseList;4;19840;19850;19820;5034
RandomCoarseList;4;20680;20811;20433;4988
RandomCoarseList;4;20272;20472;20411;4925
RandomCoarseList;4;20471;20077;20146;5103
RandomCoarseList;4;20434;20427;20598;4958
RandomCoarseList;4;20618;20751;20697;4880
RandomCoarseList;4;20575;20753;20813;4963
RandomCoarseList;4;20956;21143;20902;5075
RandomCoarseList;4;19662;20017;19606;4936
RandomCoarseList;4;20378;20164;20228;5090
RandomCoarseList;4;20019;19948;19923;5049
RandomCoarseList;4;20391;20320;20331;4992
RandomCoarseList;4;20721;20718;21064;4979
RandomCoarseList;4;20269;20224;20268;5015
RandomCoarseList;4;20995;21190;21345;4947
RandomCoarseList;4;20388;20411;20531;4958
RandomCoarseList;4;20371;20136;20266;5015
RandomCoarseList;4;20226;20327;20628;4944
RandomCoarseList;4;26469;26459;26442;5050
RandomCoarseList;4;21709;21897;21681;4924
RandomCoarseList;4;20942;21188;21277;5043
RandomCoarseList;4;20984;20891;20734;4984
RandomCoarseList;4;22402;22178;22652;5091
RandomCoarseList;4;20754;20805;20780;5029
RandomCoarseList (Mean);4;20578;20611;20613;4912
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;6;0;0;0;0
RandomCoarseList;6;25519;25481;25510;4952
RandomCoarseList;6;18785;18882;18536;5016
RandomCoarseList;6;19432;19389;19772;5008
RandomCoarseList;6;19694;19721;19864;5033
RandomCoarseList;6;19932;19696;19987;4993
RandomCoarseList;6;27851;27857;27769;4926
RandomCoarseList;6;23969;24302;24087;4999
RandomCoarseList;6;22193;22563;22445;5040
RandomCoarseList;6;21337;21454;21490;4964
RandomCoarseList;6;19961;19997;20004;5016
