sáb mai 11 02:28:55 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;2;0;0;0;0
RandomHoHContainsLockFreeList;2;28787;28727;28983;5003
RandomHoHContainsLockFreeList;2;23990;24071;24029;5029
RandomHoHContainsLockFreeList;2;24490;24475;24635;4986
RandomHoHContainsLockFreeList;2;25918;26506;26056;4901
RandomHoHContainsLockFreeList;2;25684;25410;25300;5047
RandomHoHContainsLockFreeList;2;24662;24644;24530;4919
RandomHoHContainsLockFreeList;2;24953;25446;25384;5047
RandomHoHContainsLockFreeList;2;24866;25238;24920;4952
RandomHoHContainsLockFreeList;2;25014;25017;24941;4946
RandomHoHContainsLockFreeList;2;24950;24856;24713;4982
RandomHoHContainsLockFreeList;2;24659;24690;24628;5013
RandomHoHContainsLockFreeList;2;24692;24856;25033;4942
RandomHoHContainsLockFreeList;2;24768;24773;24744;5091
RandomHoHContainsLockFreeList;2;24569;24254;24452;5051
RandomHoHContainsLockFreeList;2;24597;24821;24478;5075
RandomHoHContainsLockFreeList;2;24670;24667;24814;5085
RandomHoHContainsLockFreeList;2;24604;24604;24812;5100
RandomHoHContainsLockFreeList;2;24381;24465;24263;4989
RandomHoHContainsLockFreeList;2;24803;24458;24649;5090
RandomHoHContainsLockFreeList;2;24904;24703;24612;5007
RandomHoHContainsLockFreeList;2;24620;24730;25038;5035
RandomHoHContainsLockFreeList;2;24731;24614;24573;5055
RandomHoHContainsLockFreeList;2;24657;24310;24556;5007
RandomHoHContainsLockFreeList;2;24729;24932;25038;4970
RandomHoHContainsLockFreeList;2;24958;25175;24964;5078
RandomHoHContainsLockFreeList;2;24638;24353;24679;4969
RandomHoHContainsLockFreeList;2;25038;24917;25111;5043
RandomHoHContainsLockFreeList;2;24817;24893;25152;5010
RandomHoHContainsLockFreeList;2;25042;25065;25233;4995
RandomHoHContainsLockFreeList;2;24775;24631;24698;5013
RandomHoHContainsLockFreeList;2;24951;24640;24501;5002
RandomHoHContainsLockFreeList;2;25045;24802;24775;5039
RandomHoHContainsLockFreeList;2;24600;24524;24410;5006
RandomHoHContainsLockFreeList;2;24846;24848;24571;5036
RandomHoHContainsLockFreeList;2;25009;24967;24740;4981
RandomHoHContainsLockFreeList;2;24887;25018;24509;4958
RandomHoHContainsLockFreeList;2;26627;26807;26785;5018
RandomHoHContainsLockFreeList;2;25531;25550;25759;5016
RandomHoHContainsLockFreeList;2;24729;24930;24903;4896
RandomHoHContainsLockFreeList;2;24879;25006;24857;5018
RandomHoHContainsLockFreeList;2;24523;24507;24702;5005
RandomHoHContainsLockFreeList;2;24774;24489;24808;5021
RandomHoHContainsLockFreeList;2;24840;24778;25043;5054
RandomHoHContainsLockFreeList;2;25153;25046;25064;5070
RandomHoHContainsLockFreeList;2;24803;24824;24679;4985
RandomHoHContainsLockFreeList;2;25210;24973;24704;4945
RandomHoHContainsLockFreeList;2;24747;24620;24522;5028
RandomHoHContainsLockFreeList;2;24763;24701;24801;5043
RandomHoHContainsLockFreeList;2;25132;24768;24780;5003
RandomHoHContainsLockFreeList;2;25051;25457;25100;4998
RandomHoHContainsLockFreeList;2;25059;24935;24843;4964
RandomHoHContainsLockFreeList;2;24607;24644;24746;4943
RandomHoHContainsLockFreeList;2;25028;25361;25233;5032
RandomHoHContainsLockFreeList;2;24757;24617;24625;5059
RandomHoHContainsLockFreeList;2;25056;25049;24843;5010
RandomHoHContainsLockFreeList;2;24851;24763;24532;4982
RandomHoHContainsLockFreeList;2;24515;24597;24752;4968
RandomHoHContainsLockFreeList;2;24737;24835;24962;5005
RandomHoHContainsLockFreeList;2;24912;24469;24544;5072
RandomHoHContainsLockFreeList (Mean);2;24526;24513;24501;4926
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;4;0;0;0;0
RandomHoHContainsLockFreeList;4;40783;40297;40779;4925
RandomHoHContainsLockFreeList;4;37195;36902;37554;5085
RandomHoHContainsLockFreeList;4;39982;40094;40132;4947
RandomHoHContainsLockFreeList;4;38680;38540;38184;4951
RandomHoHContainsLockFreeList;4;38012;38240;38053;4961
RandomHoHContainsLockFreeList;4;38156;38251;38251;4921
RandomHoHContainsLockFreeList;4;37707;37535;37735;5003
RandomHoHContainsLockFreeList;4;38119;38246;38088;4999
RandomHoHContainsLockFreeList;4;37621;37231;37371;5068
RandomHoHContainsLockFreeList;4;37193;37203;37158;4973
RandomHoHContainsLockFreeList;4;37556;38133;37546;4878
RandomHoHContainsLockFreeList;4;37327;37339;37616;4921
RandomHoHContainsLockFreeList;4;38003;38063;37945;5007
RandomHoHContainsLockFreeList;4;37521;37317;37477;4923
RandomHoHContainsLockFreeList;4;38081;37647;37714;4977
RandomHoHContainsLockFreeList;4;38248;38034;38028;5053
RandomHoHContainsLockFreeList;4;38378;38378;38525;5071
RandomHoHContainsLockFreeList;4;37945;38223;38081;5022
RandomHoHContainsLockFreeList;4;38375;38697;38972;4973
RandomHoHContainsLockFreeList;4;38260;38414;38334;5026
RandomHoHContainsLockFreeList;4;38242;38022;38188;5033
RandomHoHContainsLockFreeList;4;38444;38962;38555;4957
RandomHoHContainsLockFreeList;4;40201;40453;40301;5057
RandomHoHContainsLockFreeList;4;38544;37989;38196;5013
RandomHoHContainsLockFreeList;4;38632;38789;38399;4973
RandomHoHContainsLockFreeList;4;38280;38419;38327;5001
RandomHoHContainsLockFreeList;4;38281;38373;38764;4948
RandomHoHContainsLockFreeList;4;38327;38649;38651;5024
RandomHoHContainsLockFreeList;4;38507;38491;38617;5026
RandomHoHContainsLockFreeList;4;38105;37891;38289;5029
RandomHoHContainsLockFreeList;4;38328;38470;38332;4954
RandomHoHContainsLockFreeList;4;38291;38413;38649;5008
RandomHoHContainsLockFreeList;4;37757;37971;38184;4943
RandomHoHContainsLockFreeList;4;38335;38445;38366;5022
RandomHoHContainsLockFreeList;4;38085;38213;37989;5081
RandomHoHContainsLockFreeList;4;38499;38512;38406;5007
RandomHoHContainsLockFreeList;4;38534;38558;38207;5018
RandomHoHContainsLockFreeList;4;38175;38191;38284;4995
RandomHoHContainsLockFreeList;4;38024;37688;37728;5078
RandomHoHContainsLockFreeList;4;37956;38210;38174;5023
RandomHoHContainsLockFreeList;4;38551;38102;38251;4976
RandomHoHContainsLockFreeList;4;38453;38659;38742;4985
RandomHoHContainsLockFreeList;4;38491;39001;38733;4995
RandomHoHContainsLockFreeList;4;37926;37977;37439;4992
RandomHoHContainsLockFreeList;4;40284;40239;40452;5066
RandomHoHContainsLockFreeList;4;38220;37852;38091;5037
RandomHoHContainsLockFreeList;4;37610;37604;37903;4979
