sáb mai 11 02:08:54 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHList;2;0;0;0;0
RandomHoHList;2;28314;28070;28067;4974
RandomHoHList;2;24616;24853;24574;4992
RandomHoHList;2;24944;24915;24896;5031
RandomHoHList;2;24710;24537;24775;5054
RandomHoHList;2;24581;24517;24696;4992
RandomHoHList;2;24993;25296;25151;4891
RandomHoHList;2;25351;25710;25377;4922
RandomHoHList;2;25343;25116;25170;4983
RandomHoHList;2;25154;25183;25521;5013
RandomHoHList;2;25107;25262;25197;4915
RandomHoHList;2;25277;25493;25396;4958
RandomHoHList;2;25257;25105;24998;5015
RandomHoHList;2;25240;25550;25156;4871
RandomHoHList;2;25180;25386;25638;5076
RandomHoHList;2;25041;24736;24814;5013
RandomHoHList;2;25116;24833;24998;5051
RandomHoHList;2;25254;25378;25410;5021
RandomHoHList;2;25177;25501;25186;4970
RandomHoHList;2;25122;25103;25116;5022
RandomHoHList;2;25259;25589;25082;4973
RandomHoHList;2;25197;25172;25280;5091
RandomHoHList;2;25182;25218;25038;4976
RandomHoHList;2;25300;25479;25216;4849
RandomHoHList;2;25434;25753;25615;4999
RandomHoHList;2;25235;25090;24941;5089
RandomHoHList;2;25103;25080;24959;5029
RandomHoHList;2;25234;25121;25259;5020
RandomHoHList;2;25434;25330;25344;5049
RandomHoHList;2;25555;25386;25274;4982
RandomHoHList;2;25622;25421;25223;5087
RandomHoHList;2;25159;24913;25088;5060
RandomHoHList;2;25102;25318;25189;4982
RandomHoHList;2;24796;25118;25232;4965
RandomHoHList;2;25183;25548;25287;5067
RandomHoHList;2;25233;24704;24858;5098
RandomHoHList;2;24964;25099;25003;5000
RandomHoHList;2;25198;25005;24743;5015
RandomHoHList;2;24850;25049;24721;5048
RandomHoHList;2;25262;25053;25126;4918
RandomHoHList;2;25296;25211;25352;4932
RandomHoHList;2;24001;23907;24240;4987
RandomHoHList;2;24323;24261;24367;5021
RandomHoHList;2;24610;24891;24483;4946
RandomHoHList;2;24645;24533;24306;4991
RandomHoHList;2;24412;24239;24376;4940
RandomHoHList;2;24904;24935;24683;5043
RandomHoHList;2;24634;24623;24339;5017
RandomHoHList;2;24474;24868;24553;4962
RandomHoHList;2;24626;24708;24705;4992
RandomHoHList;2;24318;24647;24700;4884
RandomHoHList;2;24655;24527;24777;5035
RandomHoHList;2;24326;24102;24172;4979
RandomHoHList;2;24223;24571;24136;4933
RandomHoHList;2;24304;24692;24327;4923
RandomHoHList;2;24251;24341;24173;5017
RandomHoHList;2;24061;23923;23909;5004
RandomHoHList;2;23988;24233;23957;4894
RandomHoHList;2;24155;24387;24422;4985
RandomHoHList;2;24115;24007;24107;4983
RandomHoHList (Mean);2;24540;24576;24511;4908
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHList;4;0;0;0;0
RandomHoHList;4;39122;39328;39265;4971
RandomHoHList;4;36769;36757;36563;4915
RandomHoHList;4;37687;37716;37860;5049
RandomHoHList;4;37442;37284;37607;5016
RandomHoHList;4;37551;37444;37299;4952
RandomHoHList;4;37713;37778;37890;4977
RandomHoHList;4;37862;37530;38086;4957
RandomHoHList;4;37582;37884;37980;5033
RandomHoHList;4;37955;38007;37995;4954
RandomHoHList;4;37764;37817;37783;5044
RandomHoHList;4;37861;37568;37443;5040
RandomHoHList;4;37310;37624;37644;5048
RandomHoHList;4;37775;37771;37934;4961
RandomHoHList;4;37706;37960;37737;5044
RandomHoHList;4;38040;37746;38281;5073
RandomHoHList;4;38062;37893;37809;4992
RandomHoHList;4;38183;37806;38099;4994
RandomHoHList;4;37660;37757;37987;5049
RandomHoHList;4;37429;37872;37385;4924
RandomHoHList;4;38185;38072;37538;5038
RandomHoHList;4;37686;37517;37806;5045
RandomHoHList;4;37445;37118;37585;4983
RandomHoHList;4;37029;37543;37402;4941
RandomHoHList;4;38722;38525;38555;4975
RandomHoHList;4;37885;37684;37856;4982
RandomHoHList;4;37726;37217;37559;5000
RandomHoHList;4;37701;37565;37290;4968
RandomHoHList;4;38308;38047;38221;5021
RandomHoHList;4;37838;37480;37496;5094
RandomHoHList;4;37907;37943;38448;4946
RandomHoHList;4;37897;38026;38095;4955
RandomHoHList;4;37964;37637;38011;5008
RandomHoHList;4;38046;37855;37605;5065
RandomHoHList;4;36731;37124;37261;4942
RandomHoHList;4;38240;37717;37813;5044
RandomHoHList;4;37081;36498;37006;5051
RandomHoHList;4;37809;37781;37996;4957
RandomHoHList;4;37569;37655;37500;4908
RandomHoHList;4;37699;37852;37720;5009
RandomHoHList;4;37472;37702;37553;4999
RandomHoHList;4;38641;38682;38394;4959
RandomHoHList;4;37415;37096;37391;4985
RandomHoHList;4;37864;37571;37575;5013
RandomHoHList;4;37876;37136;37902;5001
RandomHoHList;4;38221;38077;37938;4947
RandomHoHList;4;37719;37390;37689;5029
