sáb mai 11 02:48:56 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomLazyList;2;0;0;0;0
RandomLazyList;2;31798;31664;31757;4952
RandomLazyList;2;25165;25315;25120;4937
RandomLazyList;2;24198;23971;24134;5041
RandomLazyList;2;22783;22691;22742;5000
RandomLazyList;2;21678;21705;21460;4997
RandomLazyList;2;25264;25493;25494;4996
RandomLazyList;2;26853;26865;26861;4983
RandomLazyList;2;27542;27264;27646;5023
RandomLazyList;2;27047;27091;27116;4906
RandomLazyList;2;27607;27357;27108;5050
RandomLazyList;2;27185;27143;27182;5021
RandomLazyList;2;27307;27491;27634;4968
RandomLazyList;2;27259;27290;27021;5016
RandomLazyList;2;27220;27447;27333;5086
RandomLazyList;2;27029;26786;26491;5027
RandomLazyList;2;26936;26693;26390;5024
RandomLazyList;2;26716;26837;26561;5067
RandomLazyList;2;26650;26557;26852;4964
RandomLazyList;2;27716;27715;27531;4992
RandomLazyList;2;27510;27502;27393;4985
RandomLazyList;2;27258;27275;27401;4919
RandomLazyList;2;27498;27368;27515;5070
RandomLazyList;2;27214;27256;27343;4916
RandomLazyList;2;27412;27228;27589;5061
RandomLazyList;2;27266;27501;27521;5075
RandomLazyList;2;27153;27511;27148;4960
RandomLazyList;2;27281;27535;27518;4949
RandomLazyList;2;27791;27738;27592;4972
RandomLazyList;2;27492;27231;27397;4991
RandomLazyList;2;27529;27713;27462;5067
RandomLazyList;2;31050;31249;31385;4957
RandomLazyList;2;27654;27900;27948;4963
RandomLazyList;2;27306;27279;27385;4987
RandomLazyList;2;27666;27811;27453;4990
RandomLazyList;2;27545;27817;27399;5014
RandomLazyList;2;27410;27044;27176;4985
RandomLazyList;2;27292;26970;27003;5067
RandomLazyList;2;27189;27530;26984;4987
RandomLazyList;2;27219;26694;26821;5077
RandomLazyList;2;27143;27230;27264;4872
RandomLazyList;2;27514;27424;27384;5036
RandomLazyList;2;27020;26908;26854;5029
RandomLazyList;2;27117;26972;27114;5009
RandomLazyList;2;27301;27239;27532;4995
RandomLazyList;2;27233;27258;27399;5029
RandomLazyList;2;27266;27052;27056;5007
RandomLazyList;2;27023;27273;27211;4953
RandomLazyList;2;27109;27012;26989;4930
RandomLazyList;2;26980;26494;26349;5032
RandomLazyList;2;26949;27024;27092;5013
RandomLazyList;2;26980;26954;27064;4952
RandomLazyList;2;27090;27240;26944;4964
RandomLazyList;2;27064;26958;27393;4986
RandomLazyList;2;26895;26996;27106;5004
RandomLazyList;2;26866;27037;27060;5008
RandomLazyList;2;27001;27188;27180;4994
RandomLazyList;2;26964;27435;27213;4958
RandomLazyList;2;27517;27504;27502;5030
RandomLazyList;2;27164;27617;27353;4955
RandomLazyList (Mean);2;26631;26639;26615;4913
Experiment;Threads;Add;Remove;Contains;Population
RandomLazyList;4;0;0;0;0
RandomLazyList;4;48918;49242;49452;4964
RandomLazyList;4;48851;48902;48833;4956
RandomLazyList;4;50063;50268;49977;4942
RandomLazyList;4;48603;48861;48449;5045
RandomLazyList;4;47977;48164;47853;4964
RandomLazyList;4;47989;48509;47830;4991
RandomLazyList;4;48243;48055;48473;5064
RandomLazyList;4;46993;47268;47535;5023
RandomLazyList;4;47727;47835;47619;4962
RandomLazyList;4;47334;47202;47495;4981
RandomLazyList;4;47741;47549;47386;4989
RandomLazyList;4;47264;46759;47142;4977
RandomLazyList;4;48132;48356;48339;5002
RandomLazyList;4;48476;48626;48392;4987
RandomLazyList;4;48977;49156;48551;5008
RandomLazyList;4;48216;48047;48388;4957
RandomLazyList;4;47655;48030;47708;4989
RandomLazyList;4;48053;47683;47475;5005
RandomLazyList;4;50387;50196;50485;4984
RandomLazyList;4;48422;48941;48419;4938
RandomLazyList;4;47379;46782;47281;5118
RandomLazyList;4;47803;47924;47531;4990
RandomLazyList;4;47728;47237;47626;5010
RandomLazyList;4;47559;47285;47344;4971
RandomLazyList;4;47294;47822;47822;4953
RandomLazyList;4;47349;47311;47113;5077
RandomLazyList;4;47784;48113;47869;4957
RandomLazyList;4;47500;47420;47118;5034
RandomLazyList;4;47323;47166;47217;5097
RandomLazyList;4;47608;47476;47523;5015
RandomLazyList;4;46761;46674;46960;5036
RandomLazyList;4;47437;47267;47234;4972
RandomLazyList;4;47810;47181;47395;5048
RandomLazyList;4;48376;48844;48375;5014
RandomLazyList;4;47573;47286;47594;5043
RandomLazyList;4;50681;50810;51066;4963
RandomLazyList;4;47962;47861;48259;4914
RandomLazyList;4;48106;47291;47611;4996
RandomLazyList;4;48430;48870;48442;5005
RandomLazyList;4;48056;48428;48360;4968
RandomLazyList;4;48002;47894;47970;4919
RandomLazyList;4;48170;48673;48494;4969
RandomLazyList;4;48096;47845;47700;4939
RandomLazyList;4;48510;48068;48295;4924
RandomLazyList;4;47925;48235;47773;4954
RandomLazyList;4;48177;48373;48613;4916
RandomLazyList;4;47911;47881;47942;5024
RandomLazyList;4;47996;47645;47750;5047
RandomLazyList;4;47744;48311;48140;4920
RandomLazyList;4;48298;48054;48192;4887
