qua mai 22 01:13:45 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomLockFreeList;2;0;0;0;0
RandomLockFreeList;2;15559;15512;15248;4812
RandomLockFreeList;2;15730;15844;15902;5033
RandomLockFreeList;2;17361;17151;17070;5115
RandomLockFreeList;2;16739;16668;16730;4979
RandomLockFreeList;2;16264;16269;16190;5018
RandomLockFreeList;2;12739;12673;12907;5015
RandomLockFreeList;2;18330;17961;18136;5056
RandomLockFreeList;2;18557;18696;18581;4989
RandomLockFreeList;2;18699;18620;18609;5103
RandomLockFreeList;2;19007;19131;18927;4980
RandomLockFreeList;2;18553;18210;18432;5045
RandomLockFreeList;2;18779;18717;18682;4993
RandomLockFreeList;2;18508;18778;18677;4943
RandomLockFreeList;2;18532;18832;18793;5000
RandomLockFreeList;2;18675;18657;19002;5048
RandomLockFreeList;2;18757;18343;18584;5093
RandomLockFreeList;2;18869;18918;18688;5042
RandomLockFreeList;2;18965;18952;18960;4965
RandomLockFreeList;2;18919;18675;18791;5021
RandomLockFreeList;2;18893;18685;18926;5014
RandomLockFreeList;2;19020;19109;18855;4968
RandomLockFreeList;2;18925;19008;18845;5011
RandomLockFreeList;2;19007;18985;19116;5000
RandomLockFreeList;2;18589;18684;18404;4978
RandomLockFreeList;2;19238;19453;19036;4987
RandomLockFreeList;2;18700;18796;19090;4988
RandomLockFreeList;2;18612;18813;19018;4882
RandomLockFreeList;2;19093;19462;19324;4968
RandomLockFreeList;2;18775;18913;19019;5004
RandomLockFreeList;2;18650;18349;18743;5077
RandomLockFreeList;2;18645;18591;18520;5045
RandomLockFreeList;2;19011;19069;19059;4945
RandomLockFreeList;2;19074;18986;18755;4923
RandomLockFreeList;2;18751;18873;18810;4914
RandomLockFreeList;2;24467;24374;24436;5045
RandomLockFreeList;2;18801;18651;18876;5075
RandomLockFreeList;2;18934;18757;18575;5040
RandomLockFreeList;2;18612;18552;18419;5070
RandomLockFreeList;2;18832;18833;18829;4996
RandomLockFreeList;2;19128;19147;18842;5036
RandomLockFreeList;2;18781;18690;18614;4939
RandomLockFreeList;2;19023;18802;19155;5026
RandomLockFreeList;2;18534;18424;18324;5039
RandomLockFreeList;2;18841;19196;18862;4883
RandomLockFreeList;2;18818;18679;19046;5011
RandomLockFreeList;2;18730;18755;18632;5003
RandomLockFreeList;2;18604;18747;18731;5063
RandomLockFreeList;2;18622;18460;18482;4989
RandomLockFreeList;2;18769;18851;18775;4885
RandomLockFreeList;2;18895;18751;19046;5041
RandomLockFreeList;2;18954;18936;18838;5006
RandomLockFreeList;2;18950;19039;19169;4985
RandomLockFreeList;2;18547;18697;19277;4932
RandomLockFreeList;2;18742;18735;18911;4988
RandomLockFreeList;2;19185;19218;19175;5019
RandomLockFreeList;2;18825;18809;18755;4999
RandomLockFreeList;2;18963;19286;18911;4924
RandomLockFreeList;2;19107;18751;19098;5117
RandomLockFreeList;2;18728;18933;18637;4966
RandomLockFreeList (Mean);2;18281;18274;18280;4917
Experiment;Threads;Add;Remove;Contains;Population
RandomLockFreeList;4;0;0;0;0
RandomLockFreeList;4;40796;40799;40586;5016
RandomLockFreeList;4;40285;40326;40333;5003
RandomLockFreeList;4;36102;36280;35803;4954
RandomLockFreeList;4;35269;35255;35594;5002
RandomLockFreeList;4;36587;36385;36405;5014
RandomLockFreeList;4;36125;36396;36310;4922
RandomLockFreeList;4;36704;36888;36582;4961
RandomLockFreeList;4;35665;35967;35822;4981
RandomLockFreeList;4;35845;36113;36138;4956
RandomLockFreeList;4;36297;36725;36184;4931
RandomLockFreeList;4;36070;36063;35852;4997
RandomLockFreeList;4;36103;35755;35435;4968
RandomLockFreeList;4;36488;36245;36145;4964
RandomLockFreeList;4;36272;36351;35973;5058
RandomLockFreeList;4;35996;35999;35907;4985
RandomLockFreeList;4;36446;36135;35880;5119
RandomLockFreeList;4;40782;40645;40900;4973
RandomLockFreeList;4;37905;38142;37683;4912
RandomLockFreeList;4;36323;36350;36416;5009
RandomLockFreeList;4;36087;35943;35632;5026
RandomLockFreeList;4;35963;36040;36012;5000
RandomLockFreeList;4;36222;36631;36473;4927
RandomLockFreeList;4;36339;36514;36169;4971
RandomLockFreeList;4;36106;36121;36108;5036
RandomLockFreeList;4;35866;35247;35391;5092
RandomLockFreeList;4;35643;35544;35562;5013
RandomLockFreeList;4;36054;35938;35843;4952
RandomLockFreeList;4;36559;36025;36311;5123
RandomLockFreeList;4;35939;35678;36049;5081
RandomLockFreeList;4;35716;35619;35583;5006
RandomLockFreeList;4;36177;36462;36289;5008
RandomLockFreeList;4;37227;37301;37016;4970
RandomLockFreeList;4;41179;40543;40721;5025
