sáb mai 11 03:08:59 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomOptimisticList;2;0;0;0;0
RandomOptimisticList;2;26550;26775;26695;4953
RandomOptimisticList;2;19635;19873;19845;4974
RandomOptimisticList;2;20063;20086;20188;5012
RandomOptimisticList;2;20139;20121;20060;5055
RandomOptimisticList;2;22008;21859;22139;4990
RandomOptimisticList;2;22028;22093;21976;4927
RandomOptimisticList;2;20518;20753;20463;4982
RandomOptimisticList;2;20304;20332;20072;5074
RandomOptimisticList;2;20259;20227;19994;5055
RandomOptimisticList;2;20014;20067;20149;5024
RandomOptimisticList;2;19963;20019;19886;5013
RandomOptimisticList;2;19962;19973;19894;4953
RandomOptimisticList;2;20403;20923;20522;4913
RandomOptimisticList;2;20792;20792;20584;5055
RandomOptimisticList;2;20413;20543;20156;4956
RandomOptimisticList;2;20883;20696;20702;5068
RandomOptimisticList;2;20491;20554;20440;5067
RandomOptimisticList;2;20781;20738;20695;4929
RandomOptimisticList;2;20936;21265;21221;4964
RandomOptimisticList;2;20808;20553;20503;4986
RandomOptimisticList;2;20274;20542;20437;4998
RandomOptimisticList;2;20481;20221;20072;4989
RandomOptimisticList;2;20599;20424;20418;5011
RandomOptimisticList;2;20709;20763;20718;4895
RandomOptimisticList;2;20518;20760;20564;4917
RandomOptimisticList;2;20473;20540;20605;4975
RandomOptimisticList;2;20398;20346;20478;4965
RandomOptimisticList;2;20747;21001;20796;5014
RandomOptimisticList;2;20277;20451;20485;4954
RandomOptimisticList;2;20572;20464;20367;5012
RandomOptimisticList;2;20390;20692;20637;5037
RandomOptimisticList;2;20306;20373;20317;4967
RandomOptimisticList;2;20272;20107;20323;4974
RandomOptimisticList;2;20428;20326;20382;4937
RandomOptimisticList;2;20391;20398;20743;5005
RandomOptimisticList;2;20484;20325;20259;5070
RandomOptimisticList;2;20430;20542;20360;5017
RandomOptimisticList;2;20715;21139;20675;4965
RandomOptimisticList;2;20465;20208;20345;5065
RandomOptimisticList;2;20274;20574;20371;4979
RandomOptimisticList;2;20476;20892;20679;4930
RandomOptimisticList;2;20412;20318;20583;5102
RandomOptimisticList;2;20381;20233;20216;5067
RandomOptimisticList;2;20148;19906;19869;5015
RandomOptimisticList;2;20095;20249;20193;4985
RandomOptimisticList;2;20066;19868;20170;5050
RandomOptimisticList;2;24957;24803;24770;4950
RandomOptimisticList;2;20550;20687;20565;4916
RandomOptimisticList;2;20279;21107;20930;4935
RandomOptimisticList;2;20358;20444;20502;5006
RandomOptimisticList;2;21019;21042;20847;4936
RandomOptimisticList;2;20983;21228;21096;4987
RandomOptimisticList;2;20779;20623;20762;5051
RandomOptimisticList;2;20877;21011;21077;4999
RandomOptimisticList;2;20349;20115;20124;5065
RandomOptimisticList;2;20643;20293;20464;4992
RandomOptimisticList;2;20721;20820;20775;5099
RandomOptimisticList;2;20763;20776;20530;4982
RandomOptimisticList;2;20458;20401;20370;5069
RandomOptimisticList (Mean);2;20341;20387;20334;4913
